cumulative_seconds,WaterSurfaceElevation,Discharge
18144000.0,20.53,517000
18230400.0,19.64,498000
18316800.0,18.93,482000
18403200.0,18.38,471000
18489600.0,17.98,462000
18576000.0,17.8,458000
18662400.0,17.74,457000
18748800.0,17.58,453000
18835200.0,17.4,449000
18921600.0,17.19,445000
19008000.0,16.98,440000
19094400.0,16.77,436000
19180800.0,16.68,434000
19267200.0,16.65,433000
19353600.0,16.68,434000
19440000.0,16.8,436000
19526400.0,16.95,440000
19612800.0,17.02,441000
19699200.0,16.97,440000
19785600.0,16.68,434000
19872000.0,16.37,427000
19958400.0,16.02,420000
20044800.0,15.62,411000
20131200.0,15.21,402000
20217600.0,14.74,392000
20304000.0,14.37,384000
20390400.0,14.19,380000
20476800.0,14.09,378000
20563200.0,13.91,374000
20649600.0,13.7,370000
20736000.0,13.5,365000
20822400.0,13.21,359000
20908800.0,12.9,352000
20995200.0,12.73,348000
21081600.0,12.83,351000
21168000.0,13.7,369000
21254400.0,14.11,378000
21340800.0,14.89,395000
21427200.0,14.14,379000
21513600.0,13.58,367000
21600000.0,13.05,355000
21686400.0,12.44,342000
21772800.0,11.86,330000
21859200.0,11.37,319000
21945600.0,11.04,312000
22032000.0,10.82,307000
22118400.0,10.85,308000
22204800.0,11.11,313000
22291200.0,11.42,320000
22377600.0,11.68,326000
22464000.0,11.92,331000
22550400.0,12.03,333000
22636800.0,11.98,332000
22723200.0,11.79,328000
22809600.0,11.52,322000
22896000.0,11.28,317000
22982400.0,10.85,308000
23068800.0,10.39,298000
23155200.0,10.0,289000
23241600.0,9.7,283000
23328000.0,9.45,277000
23414400.0,9.39,276000
23500800.0,9.26,273000
23587200.0,9.31,274000
23673600.0,9.5,278000
23760000.0,9.66,282000
23846400.0,9.88,286000
23932800.0,10.13,292000
24019200.0,10.34,296000
24105600.0,10.53,301000
24192000.0,10.72,305000
24278400.0,10.81,307000
24364800.0,10.63,303000
24451200.0,10.12,292000
24537600.0,9.7,283000
24624000.0,9.43,277000
24710400.0,9.26,273000
24796800.0,9.01,268000
24883200.0,8.7,261000
24969600.0,8.42,255000
25056000.0,8.24,251000
25142400.0,7.87,243000
25228800.0,7.41,232000
25315200.0,6.86,218000
25401600.0,6.54,209000
25488000.0,6.55,210000
25574400.0,6.57,210000
25660800.0,6.71,214000
25747200.0,6.88,218000
25833600.0,7.12,224000
25920000.0,7.36,230000
26006400.0,7.6,236000
26092800.0,7.98,245000
26179200.0,8.21,250000
26265600.0,8.4,254000
26352000.0,8.68,260000
26438400.0,8.8,263000
26524800.0,8.72,261000
26611200.0,8.71,261000
26697600.0,8.81,263000
26784000.0,8.95,266000
26870400.0,9.09,269000
26956800.0,9.28,274000
27043200.0,9.31,274000
27129600.0,9.28,274000
27216000.0,9.37,275000
27302400.0,9.61,281000
27388800.0,9.62,281000
27475200.0,9.39,276000
27561600.0,9.25,273000
27648000.0,8.89,265000
27734400.0,8.54,257000
27820800.0,8.49,256000
27907200.0,8.68,260000
27993600.0,8.94,266000
28080000.0,9.49,278000
28166400.0,10.13,292000
28252800.0,10.94,309000
28339200.0,12.4,341000
28425600.0,14.55,388000
28512000.0,16.62,433000
28598400.0,18.05,463000
28684800.0,19.25,489000
28771200.0,20.24,511000
28857600.0,21.11,529000
28944000.0,21.73,543000
29030400.0,22.16,552000
29116800.0,22.78,565000
29203200.0,23.55,582000
29289600.0,24.48,602000
29376000.0,25.38,621000
29462400.0,26.28,640000
29548800.0,27.19,660000
29635200.0,27.98,679000
29721600.0,28.71,703000
29808000.0,29.28,724000
29894400.0,29.78,744000
29980800.0,30.07,756000
30067200.0,30.22,762000
30153600.0,30.47,772000
30240000.0,30.7,781000
30326400.0,30.91,790000
30412800.0,31.08,797000
30499200.0,31.26,804000
30585600.0,31.55,816000
30672000.0,31.71,823000
30758400.0,31.84,828000
30844800.0,31.99,834000
30931200.0,32.15,841000
31017600.0,32.47,854000
31104000.0,32.69,864000
31190400.0,32.49,855000
31276800.0,32.17,842000
31363200.0,31.81,827000
31449600.0,31.49,814000
31536000.0,31.14,799000
